sample,feature,criterion,selected_n_breaks,break_rank,break_date,nearest_event,distance_days
is_2015_2019,momentum_factor_trailing_6m,lwz_like,2,1,2016-02-29,2016_momentum_crash,1
is_2015_2019,momentum_factor_trailing_6m,lwz_like,2,2,2017-04-30,2016_momentum_crash,425
is_2015_2019,momentum_factor_vol_3m,bic,2,1,2016-08-31,2016_momentum_crash,183
is_2015_2019,momentum_factor_vol_3m,bic,2,2,2019-04-30,2020_covid_crash,306
is_2015_2019,momentum_factor_vol_3m,lwz_like,2,1,2016-08-31,2016_momentum_crash,183
is_2015_2019,momentum_factor_vol_3m,lwz_like,2,2,2019-04-30,2020_covid_crash,306
is_2015_2019,momentum_factor_vol_6m,bic,2,1,2016-11-30,2016_momentum_crash,274
is_2015_2019,momentum_factor_vol_6m,bic,2,2,2019-04-30,2020_covid_crash,306
is_2015_2019,momentum_factor_vol_6m,lwz_like,2,1,2016-11-30,2016_momentum_crash,274
is_2015_2019,momentum_factor_vol_6m,lwz_like,2,2,2019-04-30,2020_covid_crash,306
oos_2020_2023,strategy_total_r,bic,2,1,2021-08-31,2022_rate_hike_stress,182
oos_2020_2023,strategy_total_r,bic,2,2,2022-11-30,2022_rate_hike_stress,274
oos_2020_2023,strategy_vol_3m,bic,2,1,2022-09-30,2022_rate_hike_stress,213
oos_2020_2023,strategy_vol_3m,bic,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,strategy_vol_3m,lwz_like,2,1,2022-09-30,2022_rate_hike_stress,213
oos_2020_2023,strategy_vol_3m,lwz_like,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,strategy_vol_6m,bic,2,1,2022-09-30,2022_rate_hike_stress,213
oos_2020_2023,strategy_vol_6m,bic,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,strategy_vol_6m,lwz_like,2,1,2022-09-30,2022_rate_hike_stress,213
oos_2020_2023,strategy_vol_6m,lwz_like,2,2,2023-03-31,2022_rate_hike_stress,395
oos_2020_2023,market_vol_3m,bic,2,1,2021-01-31,2020_covid_crash,336
oos_2020_2023,market_vol_3m,bic,2,2,2021-08-31,2022_rate_hike_stress,182
oos_2020_2023,market_vol_3m,lwz_like,2,1,2021-01-31,2020_covid_crash,336
oos_2020_2023,market_vol_3m,lwz_like,2,2,2021-08-31,2022_rate_hike_stress,182
oos_2020_2023,market_vol_6m,bic,2,1,2021-02-28,2020_covid_crash,364
oos_2020_2023,market_vol_6m,bic,2,2,2021-12-31,2022_rate_hike_stress,60
oos_2020_2023,market_vol_6m,lwz_like,2,1,2021-02-28,2020_covid_crash,364
oos_2020_2023,market_vol_6m,lwz_like,2,2,2021-12-31,2022_rate_hike_stress,60
