sample,feature,criterion,selected_n_breaks,segment,start,end,n_months,mean_monthly,vol_monthly,ann_mean_approx,ann_vol_approx,min_monthly,max_monthly
is_2015_2019,strategy_total_r,bic,0,1,2015-07-31,2019-12-31,54,0.003563560954601082,0.02975300687960521,0.042762731455212984,0.10306743918684512,-0.06633939254804178,0.09120554333900532
is_2015_2019,strategy_total_r,lwz_like,0,1,2015-07-31,2019-12-31,54,0.003563560954601082,0.02975300687960521,0.042762731455212984,0.10306743918684512,-0.06633939254804178,0.09120554333900532
is_2015_2019,strategy_vol_3m,bic,2,1,2015-07-31,2016-12-31,18,0.11003756656830745,0.058535967186558735,1.3204507988196894,0.20277453847460872,0.013718703505747444,0.20722577634430367
is_2015_2019,strategy_vol_3m,bic,2,2,2017-01-31,2019-04-30,28,0.052240482824176766,0.029412054881050146,0.6268857938901212,0.10188634681796609,0.0018725452446983733,0.1016800639632288
is_2015_2019,strategy_vol_3m,bic,2,3,2019-05-31,2019-12-31,8,0.1548619757765637,0.044982322189267204,1.8583437093187642,0.15582333494848738,0.09120225514729272,0.22142012764720687
is_2015_2019,strategy_vol_3m,lwz_like,2,1,2015-07-31,2016-12-31,18,0.11003756656830745,0.058535967186558735,1.3204507988196894,0.20277453847460872,0.013718703505747444,0.20722577634430367
is_2015_2019,strategy_vol_3m,lwz_like,2,2,2017-01-31,2019-04-30,28,0.052240482824176766,0.029412054881050146,0.6268857938901212,0.10188634681796609,0.0018725452446983733,0.1016800639632288
is_2015_2019,strategy_vol_3m,lwz_like,2,3,2019-05-31,2019-12-31,8,0.1548619757765637,0.044982322189267204,1.8583437093187642,0.15582333494848738,0.09120225514729272,0.22142012764720687
is_2015_2019,strategy_vol_6m,bic,2,1,2015-07-31,2016-11-30,17,0.13486229337919484,0.034027771655291396,1.618347520550338,0.11787565875063362,0.06867314995456908,0.18601689957732576
is_2015_2019,strategy_vol_6m,bic,2,2,2016-12-31,2019-04-30,29,0.059548617775770356,0.019202544199191332,0.7145834133092442,0.06651956437517281,0.022322276624696758,0.09193132793635825
is_2015_2019,strategy_vol_6m,bic,2,3,2019-05-31,2019-12-31,8,0.1332765776772018,0.032144485015991424,1.5993189321264216,0.11135176246166724,0.10099774795060935,0.17158049468605827
is_2015_2019,strategy_vol_6m,lwz_like,2,1,2015-07-31,2016-11-30,17,0.13486229337919484,0.034027771655291396,1.618347520550338,0.11787565875063362,0.06867314995456908,0.18601689957732576
is_2015_2019,strategy_vol_6m,lwz_like,2,2,2016-12-31,2019-04-30,29,0.059548617775770356,0.019202544199191332,0.7145834133092442,0.06651956437517281,0.022322276624696758,0.09193132793635825
is_2015_2019,strategy_vol_6m,lwz_like,2,3,2019-05-31,2019-12-31,8,0.1332765776772018,0.032144485015991424,1.5993189321264216,0.11135176246166724,0.10099774795060935,0.17158049468605827
is_2015_2019,market_vol_3m,bic,2,1,2015-07-31,2015-12-31,6,0.16630168240218912,0.06334184562836258,1.9956201888262695,0.21942258974701712,0.07387132971370826,0.26116629348648857
is_2015_2019,market_vol_3m,bic,2,2,2016-01-31,2018-09-30,33,0.060476499262187663,0.0318062999107587,0.7257179911462519,0.11018025489241502,0.013565206287028135,0.137043681202701
is_2015_2019,market_vol_3m,bic,2,3,2018-10-31,2019-12-31,15,0.13842864688796735,0.08281449434154067,1.6611437626556083,0.28687782360534747,0.025471353086725046,0.24366222739592613
is_2015_2019,market_vol_3m,lwz_like,2,1,2015-07-31,2015-12-31,6,0.16630168240218912,0.06334184562836258,1.9956201888262695,0.21942258974701712,0.07387132971370826,0.26116629348648857
