config_id,median_rank,mean_rank,worst_rank,folds_covered,top3_hits,top5_hits,top10_hits
0.2|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,57.0,61.8,83.0,5,0,0,0
0.12|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,79.8,121.0,5,0,0,0
0.12|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,57.0,79.8,121.0,5,0,0,0
0.3|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,59.4,113.0,5,0,0,1
0.3|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,59.4,113.0,5,0,0,1
0.1|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,59.0,60.6,109.0,5,0,1,1
0.1|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,59.0,60.6,109.0,5,0,1,1
0.1|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,70.6,119.0,5,0,0,0
0.1|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,59.0,70.6,119.0,5,0,0,0
0.1|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,61.0,61.0,115.0,5,1,1,1
0.1|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,61.0,61.0,115.0,5,1,1,1
0.1|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,61.0,73.4,123.0,5,0,0,0
0.1|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,61.0,73.4,123.0,5,0,0,0
0.2|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,63.0,57.4,105.0,5,0,0,1
0.2|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,63.0,57.4,105.0,5,0,0,1
0.2|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,63.0,63.4,95.0,5,0,0,0
0.2|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,63.0,63.4,95.0,5,0,0,0
0.12|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,56.2,117.0,5,0,0,1
0.12|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,56.2,117.0,5,0,0,1
0.2|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,65.0,62.2,127.0,5,0,0,0
0.2|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,65.0,62.2,127.0,5,0,0,0
0.3|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,65.8,107.0,5,0,0,0
0.3|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,65.0,65.8,107.0,5,0,0,0
0.2|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,65.0,70.2,97.0,5,0,0,0
0.2|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,65.0,70.2,97.0,5,0,0,0
0.12|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,67.0,52.2,95.0,5,1,1,1
0.12|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,67.0,52.2,95.0,5,1,1,1
0.1|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,67.0,77.8,115.0,5,0,0,0
0.1|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,67.0,77.8,115.0,5,0,0,0
0.1|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,69.0,61.4,101.0,5,0,1,1
0.1|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,69.0,61.4,101.0,5,0,1,1
0.12|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,69.0,73.0,85.0,5,0,0,0
0.12|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,69.0,73.0,85.0,5,0,0,0
0.12|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,69.0,75.4,121.0,5,0,0,0
0.12|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,69.0,75.4,121.0,5,0,0,0
0.2|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,71.0,69.8,103.0,5,0,0,0
0.2|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,71.0,69.8,103.0,5,0,0,0
0.12|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,73.0,65.8,111.0,5,0,0,0
0.12|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,73.0,65.8,111.0,5,0,0,0
