run_id,strategy,split,test_start,test_end,mode,rebal_freq,hedge_freq,quantile,as_zscore,exclude_last_days,window_days,weighting_scheme,return_type,volatility_scaling,vol_window_days,final_nav,geom_avg_total_r,geom_avg_xs_r,std_xs_r,min_xs_r,max_xs_r,skew,kurtosis,max_dd,sharpe,alpha_buy_hold,tracking_error_buy_hold,ir_buy_hold,factor_loadings_low_risk,factor_loadings_momentum,factor_loadings_size,factor_loadings_quality,factor_loadings_value,factor_loadings_spx-rf,alpha_benchmark,alpha_benchmark_pvalue,tracking_error_benchmark,ir_benchmark,ttest_pval,levene_pval,timing_ability_coef,timing_ability_pval
002161c92f43,SystematicMomentum,fold1_test2015,2015-01-01,2015-12-31,long_short,ME,ME,0.2,False,42,504,equally_weighted,simple,True,21,1.1832951652985122,0.20058860904487852,0.20058860904487852,0.14779074490825825,-0.03765772268906242,0.02831245379236713,-0.5545712584422196,1.5508892350286785,-0.10719008569666508,1.357247432302982,0.15138094993919649,0.21206417932576338,0.7138449804228932,0.20831852735770298,0.848722880751028,-0.6140747279903707,-0.08809540622322173,-0.9556182288639137,0.04792422774203613,0.07498981051931675,0.27737417902867634,0.05620576742833908,1.3342013453499562,0.273498104714186,0.9324435143576003,-0.2626786019419987,0.1541930260657599
008feb9435f2,SystematicMomentum,fold5_test2019,2019-01-01,2019-12-31,long_short,ME,ME,0.2,False,84,126,equally_weighted,simple,True,21,1.115396239270878,0.1259468698936188,0.10042795790592529,0.13726850557140816,-0.042367197723882435,0.031455102411419786,-0.8579938113748922,4.1925927380494326,-0.1305655940968727,0.7316168955717368,-0.12403608710858327,0.1882361654626763,-0.6589386625237927,0.64757566408726,0.2115932146773269,-0.49962676721732346,0.4089103844385655,-0.7165074548271462,0.2490295256389462,-0.041528655601679176,0.6058427844136121,0.06169562775963595,-0.6731215340489507,0.7059077513013816,0.037488395874367156,-0.08748734976520138,0.6975308812891294
0092ec7a05de,SystematicMomentum,fold2_test2016,2016-01-01,2016-12-31,long_short,ME,ME,0.2,True,63,756,equally_weighted,simple,True,21,0.8017466626499089,-0.2125701665918761,-0.2125701665918761,0.15810059883419839,-0.04287793054855349,0.03890778687045471,-0.31378887297859415,2.3869707341134023,-0.22386698471983724,-1.3445247403192981,-0.40647583724326897,0.2132646316460334,-1.9059692838234819,0.9090633822224167,-0.15237014963215081,-0.5527753510019818,0.768791483768506,-0.9236483813501498,0.36837904411872424,0.001972871050828773,0.947636352482361,0.06984006096006769,0.028248415360874288,0.9771353567936035,0.0003497665291659366,0.1979721861765366,0.41426025323525806
01a88ac1bdae,SystematicMomentum,fold4_test2018,2018-01-01,2018-12-31,long_short,ME,ME,0.12,True,21,756,equally_weighted,simple,True,21,1.091831379082865,0.10058669938982323,0.0750677874021295,0.11320758423637046,-0.021298084415711804,0.01804808293095438,-0.26670032267365584,-0.08273241484657312,-0.09670234275303843,0.6630985716062324,0.20392803354132205,0.19064433009452322,1.0696779360824036,0.6790078032665655,-0.07199513255336923,-0.4400136105342741,0.6011426862295203,-1.0536940741814536,0.06179639346055361,-0.10406460316946475,0.3153691039816399,0.08046249721569303,-1.2933305175764354,0.1846633241301603,0.001209915373483249,0.18351245978527328,0.12371331813288837
01a9253c51be,SystematicMomentum,fold1_test2015,2015-01-01,2015-12-31,long_short,ME,ME,0.3,True,21,252,equally_weighted,simple,True,21,1.1525330064379453,0.1667244993975303,0.1667244993975303,0.1443512157317869,-0.034419591520411186,0.027952401717726838,-0.3615869216565501,1.0252098502015765,-0.10880228589730624,1.154992000256612,0.11751684029184828,0.20301794290510167,0.5788495273384783,0.30399226519115374,0.8962294413570782,-0.531917281344251,-0.22387005521155479,-0.8501256845683379,0.12959490390129758,0.032993484570164267,0.5930244860674809,0.051975174818763875,0.6347931427881044,0.31683581253095444,0.9102261855355054,-0.1877380571565369,0.29646077668406207
01e9d92e747d,SystematicMomentum,fold4_test2018,2018-01-01,2018-12-31,long_short,ME,ME,0.1,False,84,756,equally_weighted,simple,True,21,1.0073470335898198,0.008017616435752162,-0.017501295551941576,0.11581452365570005,-0.021526948734213357,0.017501320357141126,-0.31242950567501804,0.1540990893522256,-0.16552471046574393,-0.15111486020501552,0.11135895058725098,0.19732326371801248,0.5643478041514153,0.8119447228836542,-0.323135456366756,-0.40686766993678936,0.8500331745760782,-1.0829922326120618,0.07294466761060044,-0.21081784085518596,0.04240712520513077,0.08482891544664285,-2.4852120264084925,0.3109095451787639,0.001598223282524526,0.2410485627263757,0.04960151736038753
02aa407fb4b3,SystematicMomentum,fold4_test2018,2018-01-01,2018-12-31,long_short,ME,ME,0.2,True,42,252,equally_weighted,simple,True,21,1.0729982650503003,0.07989305665465207,0.054374144666958335,0.09733577869437036,-0.01883811020878091,0.018711420145553482,-0.2635123674313619,0.33087867653318037,-0.0728412192261637,0.5586244379642815,0.1832343908061509,0.1810600961841126,1.0120086903070422,0.22195154778332576,0.48680837072996397,-0.3270348620192353,0.13879856229948173,-0.7923726027797084,-0.0442008033877185,-0.07397977853044413,0.2548659930266554,0.05281296470238944,-1.4007882145479522,0.2016233370465485,1.0162963908568134e-06,0.14929555325903038,0.1423910199560221
02d6d0f454ce,SystematicMomentum,fold2_test2016,2016-01-01,2016-12-31,long_short,ME,ME,0.12,True,84,252,equally_weighted,simple,True,21,0.8120793084188668,-0.2015887563538008,-0.2015887563538008,0.22685508536280885,-0.061185963190548365,0.06762107774898884,0.06073471603273685,3.2047170479504836,-0.24878214833090975,-0.8886234841568588,-0.39549442700519366,0.2703368941202986,-1.462968746060982,1.0622276997029865,0.3634882711014106,-0.7552165301144154,0.8199184372287023,-0.850136312871262,0.6470990868463146,0.06269522497087254,0.4618047868870604,0.11002471892990781,0.5698285401738956,0.9251961801968202,3.5018472015765865e-12,0.40947835833293655,0.24150871170428215
03317a35d3bb,SystematicMomentum,fold3_test2017,2017-01-01,2017-12-31,long_short,ME,ME,0.3,True,42,756,equally_weighted,simple,True,21,1.0777166318251628,0.08469266801832531,0.08469266801832531,0.08252280583555144,-0.013332602080458944,0.015484497772371597,-0.13258640701918348,-0.144142271719379,-0.07283042143513786,1.0262940912006542,-0.12833963783773217,0.09597083814138961,-1.3372774513926307,0.9127282423407891,0.6682990616122675,-0.12269504277692037,0.12927911527594624,-0.22946582811670974,0.3806605901420664,-0.0640696132531593,0.18756679728297965,0.039026721995767844,-1.6416857470147548,0.8410834028489486,1.53201898095649e-05,-0.20236219398090735,0.3602763449412498
03654bb909c6,SystematicMomentum,fold2_test2016,2016-01-01,2016-12-31,long_short,ME,ME,0.1,False,42,126,equally_weighted,simple,True,21,0.7116926380587416,-0.30777440443166637,-0.30777440443166637,0.23964850760883571,-0.08598169632505515,0.0906402071421395,0.11606328196128526,10.575535474803369,-0.31998024337190795,-1.2842742377266483,-0.5016800750830592,0.28319622331797595,-1.7714928158479257,-0.606328384752067,2.1128930012688847,-0.8003955130538327,0.4898272524730723,0.5369469895991037,0.4431957559941876,-0.06711550063578875,0.5788460165078635,0.1377342024199958,-0.4872827479055061,0.969916527960678,6.428365967578957e-08,-0.13772573272069089,0.7090141935282658
