config_id,fold1_test2015,fold2_test2016,fold3_test2017,fold4_test2018,fold5_test2019
0.1|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,15.0,89.0,7.0,91.0,115.0
0.1|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,105.0,5.0,109.0,25.0,59.0
0.1|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,121.0,15.0,123.0,81.0,99.0
0.1|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,67.0,53.0,45.0,115.0,109.0
0.1|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,15.0,89.0,7.0,91.0,115.0
0.1|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,113.0,1.0,115.0,61.0,15.0
0.1|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,95.0,21.0,119.0,97.0,81.0
0.1|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,43.0,79.0,15.0,103.0,49.0
0.1|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,21.0,113.0,31.0,117.0,75.0
0.1|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,113.0,1.0,115.0,61.0,15.0
0.1|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,95.0,21.0,119.0,97.0,81.0
0.1|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,43.0,79.0,15.0,103.0,49.0
0.1|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,21.0,113.0,31.0,117.0,75.0
0.2|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,103.0,35.0,51.0,7.0,105.0
0.2|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,83.0,57.0,83.0,45.0,41.0
0.2|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,47.0,73.0,53.0,43.0,67.0
0.2|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,27.0,127.0,13.0,65.0,79.0
0.2|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,103.0,35.0,51.0,7.0,105.0
0.2|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,83.0,57.0,83.0,45.0,41.0
0.2|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,47.0,73.0,53.0,43.0,67.0
0.2|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,27.0,127.0,13.0,65.0,79.0
0.2|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,99.0,107.0,121.0,3.0,11.0
0.2|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,97.0,43.0,97.0,49.0,65.0
0.2|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,41.0,95.0,63.0,75.0,43.0
0.2|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,37.0,119.0,39.0,55.0,61.0
0.2|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,99.0,107.0,121.0,3.0,11.0
0.2|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,97.0,43.0,97.0,49.0,65.0
0.2|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,41.0,95.0,63.0,75.0,43.0
