run_id,config_name,config_type,eval_window,test_start,test_end,quantile,exclude_last_days,window_days,as_zscore,return_type,volatility_scaling,vol_window_days,rebal_freq,hedge_freq,final_nav,sharpe,ir_benchmark,alpha_benchmark,alpha_benchmark_pvalue,geom_avg_xs_r,max_dd,factor_loadings_low_risk,factor_loadings_momentum,factor_loadings_size,factor_loadings_quality,factor_loadings_value,strategy,experiment_group,mode,weighting_scheme,arithm_avg_total_r,arithm_avg_xs_r,geom_avg_total_r,std_xs_r,min_xs_r,max_xs_r,skew,kurtosis,alpha_buy_hold,tracking_error_buy_hold,ir_buy_hold,factor_loadings_spx-rf,tracking_error_benchmark,ttest_pval,levene_pval,timing_ability_coef,timing_ability_pval
039746a1fc3b,finalist_2_q030_ex84_win126,finalist,full_oos_2020_2023,2020-01-01,2023-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.1080581449937787,0.04954158336204958,-0.5270718901682988,-0.06259240965938795,0.389361384365556,0.009302809822365088,-0.3155063296940162,-0.34885380096035806,0.8638070207963034,-0.29750110493417103,0.3436437962824539,0.23029858371482811,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.044026261610223376,0.026902529358702052,0.026574063943445747,0.1877778058561474,-0.12466635188365593,0.056627687862830234,-1.2162411796458474,14.38777824106233,-0.09172823389818396,0.2866803412073584,-0.3199669482458029,0.1551895751208857,0.11875497598515761,0.7351124923194167,0.0015991992670660914,0.002294686344048825,0.9733736638702315
04e1004e613c,finalist_1_q020_ex84_win126,finalist,2023,2023-01-01,2023-12-31,0.2,84,126,False,simple,True,21,ME,ME,1.0571979011789183,0.08895652499283131,-0.1442284313882112,-0.01077809793596085,0.9282447353921914,0.010960134959309809,-0.09711536355388545,0.3785798152900814,0.7236024616584241,-0.10706676639521025,0.023852643732453438,0.12270970756623795,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.06825085358384157,0.01785085358384164,0.06305900216684601,0.12320776874088828,-0.028870810431078107,0.019149168271832863,-0.23977293578956038,0.282740222285935,-0.16519891040960322,0.1808566097600093,-0.9134247878958732,0.32700570527160044,0.07472935698059474,0.780913971225366,0.7937368850167846,0.07024095428061455,0.7317375633608653
12b827728fa4,finalist_3_q030_ex63_win126,finalist,full_oos_2020_2023,2020-01-01,2023-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.2101526427902114,0.1684134076731536,-0.32413453646945434,-0.03680761604051641,0.6295785796149524,0.03269206935649516,-0.2399108999641158,-0.3845547984548756,0.9518801459004561,-0.32917090056988324,0.3263055718891715,0.2429630259896406,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.06781776177504258,0.05069402952352125,0.049963323477575816,0.19411797319570848,-0.13387320868863795,0.05176067768641923,-1.4645492613793734,16.13417606322497,-0.0683389743640539,0.2978483890074669,-0.22944214871123803,0.12163928304854825,0.11355660042102632,0.6788329648815705,0.012327410485999599,-0.07206546932429347,0.31172597841952077
156106ef30f6,baseline_2_median_grid_q020_ex63_win756,baseline_median_grid,2021,2021-01-01,2021-12-31,0.2,63,756,False,simple,True,21,ME,ME,0.8620876619250641,-0.8317330485195831,-0.3386382048753427,-0.02399895715288125,0.745594005556304,-0.15011889563683678,-0.24576850978928005,0.19585120624747016,-0.056060495107179725,-0.38109448791606265,0.7597607827317506,-0.8422403461884416,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.14415890095054412,-0.14415890095054412,-0.15011889563683678,0.18048927586085,-0.04695312635965143,0.03268546034799069,-0.4716506097981438,1.6615361903281243,-0.48351438395773527,0.2090706205203803,-2.312684502271337,0.004991707619460328,0.07086901834279329,0.9708963997329962,3.911650730630161e-05,-0.16578568712655,0.5611966143547302
29fa8988bc5a,finalist_5_q012_ex84_win504,finalist,2021,2021-01-01,2021-12-31,0.12,84,504,False,simple,True,21,ME,ME,0.7264681785211206,-1.310015679585804,-0.9657531489026885,-0.10627142103187204,0.26740853453661007,-0.29550153319747674,-0.30951498584643555,-0.03821967231754486,-0.012523535404303704,-0.21177802906962984,0.999533359282827,-0.9190553099649736,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.3199290552373593,-0.3199290552373593,-0.29550153319747674,0.22557098957083274,-0.05837712041727261,0.052052308505831535,-0.32358473684914313,2.1769173305195175,-0.6288970215183752,0.24093333488194874,-2.6102532546047184,-0.029109095031698125,0.11003994255946267,0.9882188901393598,2.3231148276027554e-09,-0.1461962159003567,0.6800016962471336
3740d113179d,finalist_4_q020_ex84_win504,finalist,full_oos_2020_2023,2020-01-01,2023-12-31,0.2,84,504,False,simple,True,21,ME,ME,0.5334023302967548,-0.7688338401591278,-1.3198346773817298,-0.20062685910239209,0.009913229484763583,-0.1656732733359736,-0.5647871264271428,-0.206015044769649,0.29217832625160534,-0.7145976635342624,0.5814805089001572,-0.28075125327732414,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.1371874261743023,-0.1543111584258236,-0.14840201921489293,0.21548644802326042,-0.10462743217100445,0.0526890367225471,-0.7208287479908375,5.684321739178172,-0.26670431705652264,0.2970669503767089,-0.8977919513372876,0.16179845000997412,0.15200908306212482,0.9576131256446868,0.5947498373501139,0.0193751944339294,0.8052233288425692
38ffbd2d928a,baseline_2_median_grid_q020_ex63_win756,baseline_median_grid,full_oos_2020_2023,2020-01-01,2023-12-31,0.2,63,756,False,simple,True,21,ME,ME,0.5968519631312027,-0.6913786861060535,-1.2575657217942406,-0.16039803793425456,0.01398394806785359,-0.1408538213246474,-0.5371182756438989,0.01044011703431448,0.18621930814879958,-0.5075004898041942,0.7130840121907609,-0.44645413198791445,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.11090705324344187,-0.12803078549496316,-0.12358256720356675,0.20372890306751698,-0.10608252412033292,0.0704375735370899,-1.0388045888164608,10.14268304811729,-0.24188486504519646,0.29419907704354664,-0.8221809105451179,0.1819353268647313,0.12754644560874762,0.9451376597894952,0.049030597258225075,0.0162332603922443,0.8275135958720798
3c06323e16f6,finalist_5_q012_ex84_win504,finalist,full_oos_2020_2023,2020-01-01,2023-12-31,0.12,84,504,False,simple,True,21,ME,ME,0.425893483502788,-0.8262969780056355,-1.3827385196899862,-0.25704956948504676,0.00611230366438102,-0.21328522208534406,-0.6489330083065363,-0.33449783193856814,0.3965218897713374,-0.8165939255147099,0.7583938182349997,-0.26553420119498017,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.18445337479436275,-0.20157710704588405,-0.1960139679642634,0.25812175012443217,-0.12291684954971405,0.06468675175237493,-0.7013445740933103,5.326830119237851,-0.3143162658058931,0.32948092860407857,-0.9539740801920341,0.1551133035936601,0.18589889977367377,0.96723983248011,4.54839313703701e-06,-0.012858614522705182,0.8915771450929086
3d9d44b478bf,finalist_5_q012_ex84_win504,finalist,2022,2022-01-01,2022-12-31,0.12,84,504,False,simple,True,21,ME,ME,1.0155798628453965,0.015815967195400463,-0.8415106385575565,-0.12763389265306202,0.5129135300532376,0.0029617827773289473,-0.13425863873114005,-1.252318890962505,0.5347346201069115,-0.9131025873581184,0.8174761706069453,0.22840775101551355,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.03423124254477976,0.02032779426891765,0.01708975082946962,0.18726535916123302,-0.0291594139636543,0.03288341704006602,0.10398910390627616,-0.1832455516875755,0.14793687042059545,0.3033266989794876,0.48771463546833915,-0.3573852649888989,0.15167234590383885,0.32893927713372134,0.0008682128030433924,0.0979662491908479,0.5486792493198578
45a18b6ef4e9,finalist_5_q012_ex84_win504,finalist,2023,2023-01-01,2023-12-31,0.12,84,504,False,simple,True,21,ME,ME,1.021675800998081,-0.12255921088686406,-1.361309173055037,-0.15999459861851695,0.27748417836484124,-0.028243037686058736,-0.19420190209924076,-0.10399689324736609,0.479452275276293,-1.41155307814022,0.570878181922648,1.2159460471946433,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.04990861890655243,-0.0004913810934474396,0.023855829521477467,0.23044402360039865,-0.04315767518089033,0.03962236192251065,-0.2951464830363001,0.012704245986378648,-0.20440208305497176,0.26936480826301606,-0.7588299465436751,0.43558511574577574,0.11752994968766617,0.7221268554057718,2.7764486214347843e-14,-0.019175508558444077,0.9600656143523667
