sample,variant,variant_type,description,n_days,final_nav,ann_return_total,ann_vol_total,sharpe_total,ann_return_excess,ann_vol_excess,ir_excess,max_dd,mean_exposure,risk_off_share,switches,tc_drag,mean_daily_total_r,std_daily_total_r,min_daily_total_r,max_daily_total_r
is_wf_2015_2019,baseline_no_protection,baseline,No exposure scaling,1160,1.207039368430186,0.04172545699233354,0.10970516123134615,0.4275427526393342,0.031303222495652205,0.10968836680420455,0.33590955744005485,-0.16151739657293362,1.0,0.0,0,0.0,0.00018612558179203055,0.006910775575199675,-0.04113806942525777,0.044722752212946415
is_wf_2015_2019,combo_vol63_q90_both,combo_vol,Exit when internal vol63 q90 AND market vol63 q90,1160,1.207039368430186,0.04172545699233354,0.10970516123134615,0.4275427526393342,0.031303222495652205,0.10968836680420455,0.33590955744005485,-0.16151739657293362,1.0,0.0,0,0.0,0.00018612558179203055,0.006910775575199675,-0.04113806942525777,0.044722752212946415
is_wf_2015_2019,combo_triple_and_vol_and_spread21,combo_vol_spread,"Exit only when internal vol, market vol, and spread21 all confirm",1160,1.207039368430186,0.04172545699233354,0.10970516123134615,0.4275427526393342,0.031303222495652205,0.10968836680420455,0.33590955744005485,-0.16151739657293362,1.0,0.0,0,0.0,0.00018612558179203055,0.006910775575199675,-0.04113806942525777,0.044722752212946415
is_wf_2015_2019,external_binary_market_vol63_above_is_q90,external_market_vol,Exit when market vol63 > IS q90,1160,1.1397923228639157,0.028833032057097308,0.10548551871093811,0.3222598328873891,0.019801128629611364,0.10546839207717965,0.23868521303903859,-0.16862608917926225,0.9051724137931034,0.09482758620689655,8,0.02,0.00013489581599931136,0.006644963081614117,-0.04113806942525777,0.044722752212946415
is_wf_2015_2019,internal_binary_vol63_above_is_q90,internal_vol,Exit when portfolio vol63 > IS q90,1160,1.1277150335344779,0.026454878474657884,0.09775668207581095,0.31607791132068175,0.017177998052199328,0.09774428988739464,0.22321547640404463,-0.15287178545752467,0.9051724137931034,0.09482758620689655,14,0.034999999999999996,0.0001226139995561994,0.006158092137319076,-0.03735382160075259,0.027664406579233452
is_wf_2015_2019,spread_binary_vol63_above_is_q90,momentum_factor_state,Exit when momentum factor vol63 > IS q90,1160,1.106778821198075,0.022284645131193104,0.1019552628548083,0.2672305961782537,0.013287894709552495,0.10193885024319205,0.18053805290489874,-0.1884079048227284,0.9051724137931034,0.09482758620689655,8,0.02,0.00010811732411190865,0.006422577865905809,-0.04113806942525777,0.044722752212946415
is_wf_2015_2019,spread_binary_trailing63_below_is_q10,momentum_factor_state,Exit when 63d momentum factor trailing return < IS q10,1160,0.9846517842962554,-0.0033544810592959218,0.10071747505066846,0.017141173636235064,-0.01268263249496493,0.10068360928313592,-0.07627990345969483,-0.2707445349019608,0.9051724137931034,0.09482758620689655,35,0.0875,6.850856063677305e-06,0.0063446045633909825,-0.04113806942525777,0.027664406579233452
is_wf_2015_2019,combo_vol_and_or_spread63_q10,combo_vol_spread,Exit when vol AND rule fires OR spread63 collapses below IS q10,1160,0.9846517842962554,-0.0033544810592959218,0.10071747505066846,0.017141173636235064,-0.01268263249496493,0.10068360928313592,-0.07627990345969483,-0.2707445349019608,0.9051724137931034,0.09482758620689655,35,0.0875,6.850856063677305e-06,0.0063446045633909825,-0.04113806942525777,0.027664406579233452
is_wf_2015_2019,spread_binary_trailing21_below_is_q10,momentum_factor_state,Exit when 21d momentum factor trailing return < IS q10,1160,0.8692672665546959,-0.029977998933880534,0.09471680218502593,-0.27387909479418904,-0.03901735058424771,0.09469384518720189,-0.372823127234065,-0.27341238243830257,0.9017241379310345,0.09827586206896552,48,0.12000000000000001,-0.00010294028588982208,0.005966597703830424,-0.03735382160075259,0.02132281526382736
is_wf_2015_2019,combo_vol_and_or_spread21_q10,combo_vol_spread,Exit when vol AND rule fires OR spread21 collapses below IS q10,1160,0.8692672665546959,-0.029977998933880534,0.09471680218502593,-0.27387909479418904,-0.03901735058424771,0.09469384518720189,-0.372823127234065,-0.27341238243830257,0.9017241379310345,0.09827586206896552,48,0.12000000000000001,-0.00010294028588982208,0.005966597703830424,-0.03735382160075259,0.02132281526382736
