date,strategy_total_r,strategy_excess_r,market_total_r,momentum_factor_r
2020-01-31,0.0,-9.999999999998899e-05,-0.01762310077798379,-0.0008227105118568945
2020-02-29,-0.016310710077883872,-0.018179712637218515,-0.08231872996489087,0.006296884030048577
2020-03-31,0.023644003692385507,0.021396514989938664,-0.1235135310468033,0.06699068532070407
2020-04-30,-0.07187188848846815,-0.07187188848846815,0.12819403324982948,-0.04511615545443748
2020-05-31,-0.00819457149759728,-0.00819457149759728,0.04762745850070971,0.009271253825297698
2020-06-30,-0.01634527423716947,-0.01634527423716947,0.019888211104706288,-0.019935798918589875
2020-07-31,0.02889115347884008,0.02889115347884008,0.05638517114396646,0.049666503478675406
2020-08-31,-0.034007976649458094,-0.034007976649458094,0.07187982968221163,-0.011494092021923752
2020-09-30,0.022696842129529493,0.022696842129529493,-0.03799719414747538,0.02390011190613417
2020-10-31,-0.0589963128252714,-0.0589963128252714,-0.02659264644455761,-0.02547743866306673
2020-11-30,-0.05905895216957413,-0.05905895216957413,0.10946362497104656,-0.0622073721981502
2020-12-31,0.0017993274860492736,0.0017993274860492736,0.03844856706182753,-0.006655962808699956
2021-01-31,0.0813349777965342,0.0813349777965342,-0.010096206512143713,0.0167869543223087
2021-02-28,-0.028480487513916852,-0.028480487513916852,0.02757449866619055,0.022701472957826985
2021-03-31,-0.009308743056488544,-0.009308743056488544,0.04379555570196203,-0.032095413448569254
2021-04-30,0.0056011510729332414,0.0056011510729332414,0.05336906808051989,-0.0038477946003009356
2021-05-31,-0.004849624384586693,-0.004849624384586693,0.006984199415544845,0.021868632355757978
2021-06-30,0.03028042414238996,0.03028042414238996,0.02334539071288111,-0.025959991586836928
2021-07-31,-0.05576873661684767,-0.05576873661684767,0.023754358264431952,-0.00469504606294513
2021-08-31,0.001989996644015779,0.001989996644015779,0.030405637882691794,0.01694163302961349
2021-09-30,0.046523522408324025,0.046523522408324025,-0.04650938456026288,0.0007947479603238605
2021-10-31,0.0009134229657392634,0.0009134229657392634,0.07006135746867947,0.024566718087047912
2021-11-30,0.0584284005008735,0.0584284005008735,-0.00692881677128987,0.02431656355814993
2021-12-31,0.05560523458110289,0.05560523458110289,0.04481640621322036,-0.007667904979670959
2022-01-31,-0.0065798529846754494,-0.0065798529846754494,-0.051746823274956055,-0.009224921231434702
2022-02-28,0.023460438213956714,0.023460438213956714,-0.02994217480189898,0.006309580699153328
2022-03-31,0.03208048936571273,0.03208048936571273,0.037130008915381874,0.020311430200352865
2022-04-30,0.027944090891103723,0.027944090891103723,-0.08720162561690115,0.06145076247109915
2022-05-31,0.06329937589796919,0.06329937589796919,0.0018340395439624402,0.0201993762501389
2022-06-30,-0.03591936679410457,-0.03591936679410457,-0.08254367238252636,0.004474417193099045
2022-07-31,0.028889163652888517,0.028889163652888517,0.0922044729233884,-0.0481371089427296
2022-08-31,-0.023210952461985457,-0.025457798734287773,-0.040781356308831396,0.01791137722347136
2022-09-30,-0.04477202411562886,-0.04678046020629478,-0.09209951256325788,0.032003295739986504
2022-10-31,0.1403923325245009,0.13801458526154664,0.08096128704719385,0.023395089088359633
2022-11-30,0.06381091509822356,0.061585474489648906,0.055884750629661806,-0.026016077910506086
2022-12-31,-0.018917956446754314,-0.02303412731384824,-0.05761465775524344,0.016024646728536318
2023-01-31,-0.082836992086323,-0.08651467344114594,0.06283428018028814,-0.08031127678401118
2023-02-28,0.01760229527639079,0.013745675571614546,-0.024399784626570775,0.007044398478470493
2023-03-31,0.03529446821320814,0.030549622773009766,0.03671430929974728,0.017020418604745347
2023-04-30,0.02250143370485813,0.018627391527020976,0.015608914894899684,0.0007558400703406853
2023-05-31,-0.03475805762366402,-0.03900314306463559,0.004346827801329001,0.01058505884922889
2023-06-30,0.011331399343663895,0.00709451000697392,0.06607554677289129,-0.0013336465864799418
2023-07-31,-0.031906924488051436,-0.035778311398722895,0.032124539863823465,-0.032626543151955456
2023-08-31,0.05086868741559836,0.04605563504378374,-0.015921117042355215,0.020695681384570896
2023-09-30,-0.005577776683197144,-0.009549069467364335,-0.04767819330812173,0.0019912785794049537
2023-10-31,0.01233967189202545,0.00789709818670481,-0.02102687001040371,0.003543894785165147
2023-11-30,0.02131749681967654,0.01704072957473124,0.09132586047097346,0.008381210680353801
2023-12-31,-0.04801481811383346,-0.05182497038527356,0.04543061963636075,-0.04500916503146568
