sample,year,variant,variant_type,final_nav,ann_return_total,ann_vol_total,sharpe_total,ir_excess,max_dd,mean_exposure,risk_off_share,switches,tc_drag
oos_2020_2023,2020,baseline_no_protection,baseline,0.8220691382976608,-0.19096084633430044,0.2892722594875724,-0.5848145479089882,-0.6005459083204887,-0.30138620084012524,1.0,0.0,0,0.0
oos_2020_2023,2021,baseline_no_protection,baseline,1.188147393009309,0.18814739300930894,0.1495841276822022,1.2273652770177923,1.2273652770177923,-0.1087234535245385,1.0,0.0,0,0.0
oos_2020_2023,2022,baseline_no_protection,baseline,1.2634453715507974,0.26462300015777696,0.21420163168070308,1.203593873003016,1.1435002375971537,-0.14059822919571774,1.0,0.0,0,0.0
oos_2020_2023,2023,baseline_no_protection,baseline,0.9603636351492378,-0.039947036630036736,0.11339319195278873,-0.3029177010997598,-0.7473888296749577,-0.1058810496643735,1.0,0.0,0,0.0
oos_2020_2023,2020,internal_binary_vol63_above_is_q90,internal_vol,0.8675736676970804,-0.14241821056036985,0.09522912688033469,-1.5652552184592055,-1.6135902693947626,-0.17294065883842702,0.2875536480686695,0.7124463519313304,3,0.0075
oos_2020_2023,2021,internal_binary_vol63_above_is_q90,internal_vol,1.143528687756198,0.1435286877561981,0.11028516055366765,1.271288785078163,1.271288785078163,-0.07385765841070169,0.6031746031746031,0.3968253968253968,1,0.0025
oos_2020_2023,2022,internal_binary_vol63_above_is_q90,internal_vol,1.139771733555671,0.1403659683528784,0.09783550234245957,1.391615640952803,1.391615640952803,-0.05990049155272903,0.41832669322709165,0.5816733067729084,1,0.0025
oos_2020_2023,2023,internal_binary_vol63_above_is_q90,internal_vol,1.0355244857050045,0.03581371119457755,0.09335523317762286,0.42343700275887913,-0.036539440899048065,-0.07071901367480915,0.852,0.148,3,0.0075
oos_2020_2023,2020,external_binary_market_vol63_above_is_q90,external_market_vol,0.9825129477721088,-0.018899477390925012,0.1700022677433181,-0.027753460955546767,-0.05447542369743194,-0.14417190784547984,0.575107296137339,0.4248927038626609,6,0.015000000000000001
oos_2020_2023,2021,external_binary_market_vol63_above_is_q90,external_market_vol,1.188147393009309,0.18814739300930894,0.1495841276822022,1.2273652770177923,1.2273652770177923,-0.1087234535245385,1.0,0.0,0,0.0
oos_2020_2023,2022,external_binary_market_vol63_above_is_q90,external_market_vol,1.022032132688396,0.02212087389955575,0.05694938035427046,0.41267124604995403,0.41267124604995403,-0.02047503954248664,0.1752988047808765,0.8247011952191236,5,0.0125
oos_2020_2023,2023,external_binary_market_vol63_above_is_q90,external_market_vol,1.0298080360912667,0.030050048092589154,0.09672930544175791,0.35428676536727877,-0.1063172558142391,-0.0707190136748086,0.884,0.116,1,0.0025
oos_2020_2023,2020,combo_vol63_q90_both,combo_vol,0.9143593774232379,-0.09229192228193484,0.17465051465771192,-0.4674758416544756,-0.4935227980282577,-0.20353778207385897,0.592274678111588,0.40772532188841204,8,0.02
oos_2020_2023,2021,combo_vol63_q90_both,combo_vol,1.188147393009309,0.18814739300930894,0.1495841276822022,1.2273652770177923,1.2273652770177923,-0.1087234535245385,1.0,0.0,0,0.0
oos_2020_2023,2022,combo_vol63_q90_both,combo_vol,1.139771733555671,0.1403659683528784,0.09783550234245957,1.391615640952803,1.391615640952803,-0.05990049155272903,0.41832669322709165,0.5816733067729084,1,0.0025
oos_2020_2023,2023,combo_vol63_q90_both,combo_vol,1.0298080360912667,0.030050048092589154,0.09672930544175791,0.35428676536727877,-0.1063172558142391,-0.0707190136748086,0.884,0.116,1,0.0025
oos_2020_2023,2020,spread_binary_trailing21_below_is_q10,momentum_factor_state,0.783736963121301,-0.23168300027867972,0.22059452127881637,-1.0795403513861288,-1.100249453271027,-0.2776985079164159,0.7424892703862661,0.2575107296137339,24,0.060000000000000005
oos_2020_2023,2021,spread_binary_trailing21_below_is_q10,momentum_factor_state,1.125209103497116,0.1252091034971159,0.14292129354275473,0.8967769361601751,0.8967769361601751,-0.1581683972175041,0.9047619047619048,0.09523809523809523,12,0.030000000000000002
oos_2020_2023,2022,spread_binary_trailing21_below_is_q10,momentum_factor_state,1.013781658707704,0.013836943850475292,0.17624409076571698,0.16640217391368176,0.11174253414498402,-0.22111968104384316,0.8167330677290837,0.18326693227091634,20,0.05
oos_2020_2023,2023,spread_binary_trailing21_below_is_q10,momentum_factor_state,0.9512610807089432,-0.04911909447996754,0.0921974901056423,-0.5003123231881716,-0.9443084992808952,-0.10075411242974819,0.812,0.188,13,0.0325
oos_2020_2023,2020,spread_binary_trailing63_below_is_q10,momentum_factor_state,0.7142780335440001,-0.3050542658155603,0.23015222480164096,-1.461178294293741,-1.4811096525828316,-0.3190776278431846,0.721030042918455,0.27896995708154504,11,0.0275
oos_2020_2023,2021,spread_binary_trailing63_below_is_q10,momentum_factor_state,1.025059577083325,0.02505957708332507,0.1393638668997308,0.24701469757658598,0.24701469757658598,-0.15600365688519224,0.8809523809523809,0.11904761904761904,9,0.0225
oos_2020_2023,2022,spread_binary_trailing63_below_is_q10,momentum_factor_state,1.0800607508294289,0.08039220945804271,0.1917618866482659,0.49935602204937507,0.44434018426934413,-0.23213601007514917,0.900398406374502,0.099601593625498,10,0.025
oos_2020_2023,2023,spread_binary_trailing63_below_is_q10,momentum_factor_state,0.8943935663313604,-0.1064046588769062,0.08812128472893162,-1.232446088973265,-1.6294311113754383,-0.0919004916279832,0.696,0.304,9,0.0225
oos_2020_2023,2020,spread_binary_vol63_above_is_q90,momentum_factor_state,0.9322399733687635,-0.07307871059777193,0.08664808372161636,-0.8324609116073306,-0.8851416174731221,-0.11129416799213143,0.2703862660944206,0.7296137339055794,1,0.0025
oos_2020_2023,2021,spread_binary_vol63_above_is_q90,momentum_factor_state,1.0588283749950034,0.058828374995003374,0.1282221548192737,0.5097082943879205,0.5097082943879205,-0.11436856756552283,0.6547619047619048,0.34523809523809523,3,0.0075
oos_2020_2023,2022,spread_binary_vol63_above_is_q90,momentum_factor_state,1.0360626763845144,0.03620892278492094,0.05491711772140914,0.6751742374605648,0.6751742374605648,-0.020186811546154537,0.16733067729083664,0.8326693227091634,1,0.0025
oos_2020_2023,2023,spread_binary_vol63_above_is_q90,momentum_factor_state,0.9637783190592254,-0.03650609983476227,0.08384528616286828,-0.4017305687849033,-0.8173291992465617,-0.07071901367480837,0.692,0.308,1,0.0025
oos_2020_2023,2020,combo_vol_and_or_spread21_q10,combo_vol_spread,0.9498594767740858,-0.05411662756082758,0.1511971500280782,-0.29244171568952665,-0.3225087164389813,-0.12565642006737,0.5236051502145923,0.47639484978540775,16,0.04000000000000001
oos_2020_2023,2021,combo_vol_and_or_spread21_q10,combo_vol_spread,1.125209103497116,0.1252091034971159,0.14292129354275473,0.8967769361601751,0.8967769361601751,-0.1581683972175041,0.9047619047619048,0.09523809523809523,12,0.030000000000000002
oos_2020_2023,2022,combo_vol_and_or_spread21_q10,combo_vol_spread,1.1074773875670136,0.10792790393048812,0.09721826841000412,1.1028616172425563,1.1028616172425563,-0.05990049155272892,0.40239043824701193,0.5976095617529881,7,0.0175
oos_2020_2023,2023,combo_vol_and_or_spread21_q10,combo_vol_spread,1.013854064442416,0.013965667319328912,0.08640357187832953,0.20353089979406477,-0.24454735552657797,-0.10075411242974797,0.768,0.232,12,0.030000000000000002
oos_2020_2023,2020,combo_vol_and_or_spread63_q10,combo_vol_spread,0.9289019138768095,-0.07666785019153288,0.15831880526136735,-0.425100105509872,-0.45382989274990737,-0.16550193750255793,0.5021459227467812,0.4978540772532189,7,0.0175
oos_2020_2023,2021,combo_vol_and_or_spread63_q10,combo_vol_spread,1.025059577083325,0.02505957708332507,0.1393638668997308,0.24701469757658598,0.24701469757658598,-0.15600365688519224,0.8809523809523809,0.11904761904761904,9,0.0225
oos_2020_2023,2022,combo_vol_and_or_spread63_q10,combo_vol_spread,1.139771733555671,0.1403659683528784,0.09783550234245957,1.391615640952803,1.391615640952803,-0.05990049155272903,0.41832669322709165,0.5816733067729084,1,0.0025
oos_2020_2023,2023,combo_vol_and_or_spread63_q10,combo_vol_spread,0.9339669122054722,-0.06654337446459302,0.08315117702987619,-0.7865779991542637,-1.1908739105465682,-0.07447877558903115,0.668,0.332,8,0.02
oos_2020_2023,2020,combo_triple_and_vol_and_spread21,combo_vol_spread,0.7582284974601678,-0.2586924988293513,0.2371801011260359,-1.1390563659603177,-1.1583269856315004,-0.3131184448576,0.8111587982832618,0.1888412017167382,14,0.035
oos_2020_2023,2021,combo_triple_and_vol_and_spread21,combo_vol_spread,1.188147393009309,0.18814739300930894,0.1495841276822022,1.2273652770177923,1.2273652770177923,-0.1087234535245385,1.0,0.0,0,0.0
oos_2020_2023,2022,combo_triple_and_vol_and_spread21,combo_vol_spread,1.043343811407892,0.04352020029861703,0.176636150216287,0.3298221703064892,0.27531374723627716,-0.22111968104384294,0.8326693227091634,0.16733067729083664,14,0.035
oos_2020_2023,2023,combo_triple_and_vol_and_spread21,combo_vol_spread,0.9662300913827166,-0.034035417539659774,0.10197955125826645,-0.28871890582200715,-0.7473335049820482,-0.07248216443150535,0.928,0.072,2,0.005
