sample,variant,variant_type,description,n_days,final_nav,ann_return_total,ann_vol_total,sharpe_total,ann_return_excess,ann_vol_excess,ir_excess,max_dd,mean_exposure,risk_off_share,switches,tc_drag,mean_daily_total_r,std_daily_total_r,min_daily_total_r,max_daily_total_r
oos_2020_2023,combo_vol63_q90_both,combo_vol,Exit when internal vol63 q90 AND market vol63 q90,986,1.2751503705399512,0.06409200879798305,0.133121047061157,0.533177754273577,0.051010486524068366,0.13313892835099417,0.4401958309900493,-0.20353778207385897,0.7261663286004056,0.2738336713995943,10,0.025,0.0002816554798357732,0.008385837733151123,-0.04189489129910869,0.057228957124130675
oos_2020_2023,external_binary_market_vol63_above_is_q90,external_market_vol,Exit when market vol63 > IS q90,986,1.228653517966834,0.054037841150798904,0.12537427872256465,0.4823914958198197,0.04107992079940126,0.12538915098738904,0.3836815685842168,-0.14417190784547984,0.6602434077079108,0.33975659229208927,12,0.030000000000000002,0.00023999795972344824,0.007897837197714353,-0.04189489129910869,0.057228957124130675
oos_2020_2023,combo_vol_and_or_spread21_q10,combo_vol_spread,Exit when vol AND rule fires OR spread21 collapses below IS q10,986,1.2000598649060108,0.04771347381387292,0.1220428394581878,0.4429686703535876,0.03636860140357001,0.12205292146571503,0.3537279323399849,-0.15816839721750386,0.652129817444219,0.34787018255578095,47,0.11750000000000002,0.00021452839016257856,0.007687976250060612,-0.04189489129910869,0.0293366542392338
oos_2020_2023,internal_binary_vol63_above_is_q90,internal_vol,Exit when portfolio vol63 > IS q90,986,1.1709320165996764,0.04115453793847812,0.09960326238243748,0.4547148864071114,0.028776087586061205,0.09960957446003714,0.3346067037626521,-0.20893679211862726,0.5446247464503042,0.4553752535496957,8,0.02,0.0001797265323016181,0.006274415762729628,-0.032441928799120855,0.0293366542392338
oos_2020_2023,baseline_no_protection,baseline,No exposure scaling,986,1.185143228592026,0.04436957308945089,0.20104659862355848,0.3176711857319644,0.026636333554131975,0.2010681323626428,0.23247333414475685,-0.30138620084012524,1.0,0.0,0,0.0,0.00025343933084176246,0.01266474528317515,-0.136966863925846,0.057228957124130675
oos_2020_2023,combo_vol_and_or_spread63_q10,combo_vol_spread,Exit when vol AND rule fires OR spread63 collapses below IS q10,986,1.0136040523680194,0.0034594302049733017,0.12271136927466152,0.08939453736842798,-0.006141297900385867,0.12274154876313063,0.01108010931541038,-0.24076411772109596,0.6196754563894523,0.3803245436105477,25,0.0625,4.353065907204244e-05,0.00773008967002302,-0.04189489129910869,0.057228957124130675
oos_2020_2023,spread_binary_vol63_above_is_q90,momentum_factor_state,Exit when momentum factor vol63 > IS q90,986,0.9856358087620188,-0.0036909661409352257,0.09226164456200865,0.006035620164243623,-0.013524827346510726,0.09228578207904414,-0.10141945559894185,-0.21293418098599737,0.44929006085192696,0.550709939148073,6,0.015,2.2097469932727674e-06,0.005811937310974039,-0.03211218487959663,0.0293366542392338
oos_2020_2023,combo_triple_and_vol_and_spread21,combo_vol_spread,"Exit only when internal vol, market vol, and spread21 all confirm",986,0.9081935756379967,-0.02431119550400096,0.17206409949810694,-0.055523311488462616,-0.03920920792493687,0.17205911176408242,-0.14494652188864704,-0.3131184448576,0.8945233265720081,0.10547667342799188,30,0.07500000000000001,-3.791098647783815e-05,0.010839019448434871,-0.136966863925846,0.057228957124130675
oos_2020_2023,spread_binary_trailing21_below_is_q10,momentum_factor_state,Exit when 21d momentum factor trailing return < IS q10,986,0.8504479238841971,-0.04055629054833765,0.1636125405244634,-0.16959265816450608,-0.05380453868017765,0.16360160260394274,-0.2545875668057178,-0.2986881843092315,0.8204868154158215,0.1795131845841785,69,0.17250000000000001,-0.00011010907006584015,0.010306621276171607,-0.136966863925846,0.033640404934871526
oos_2020_2023,spread_binary_trailing63_below_is_q10,momentum_factor_state,Exit when 63d momentum factor trailing return < IS q10,986,0.7072830536796235,-0.08470870854307988,0.16978945714488228,-0.43483845969648294,-0.09622101455943843,0.16979808346324105,-0.5093231906528913,-0.41618646179025975,0.8012170385395537,0.19878296146044624,39,0.0975,-0.00029298010324437543,0.0106957304487147,-0.136966863925846,0.057228957124130675
