sample,year,variant,variant_type,final_nav,ann_return_total,ann_vol_total,sharpe_total,ir_excess,max_dd,mean_exposure,risk_off_share,switches,tc_drag
is_wf_2015_2019,2015,baseline_no_protection,baseline,1.119921457220043,0.1309095539250933,0.11730150470495436,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0.0,0,0.0
is_wf_2015_2019,2016,baseline_no_protection,baseline,0.9025205001010079,-0.10499632267026904,0.14557636509375582,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0.0,0,0.0
is_wf_2015_2019,2017,baseline_no_protection,baseline,1.0018784911481033,0.002040595158224079,0.07228703564302819,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0.0,0,0.0
is_wf_2015_2019,2018,baseline_no_protection,baseline,1.0790068135419166,0.08649163234252844,0.07314297600929696,1.1707564803218662,0.8262257902280293,-0.03658260136398983,1.0,0.0,0,0.0
is_wf_2015_2019,2019,baseline_no_protection,baseline,1.104682703177862,0.11420455440167676,0.12100587640905934,0.9543835069877277,0.7461291581260939,-0.11800581337187177,1.0,0.0,0,0.0
is_wf_2015_2019,2015,internal_binary_vol63_above_is_q90,internal_vol,1.119921457220043,0.1309095539250933,0.11730150470495436,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0.0,0,0.0
is_wf_2015_2019,2016,internal_binary_vol63_above_is_q90,internal_vol,0.9118264072667202,-0.09501120819155873,0.10722466384197467,-0.8773640455513457,-0.8773640455513457,-0.1418361929134473,0.721030042918455,0.27896995708154504,2,0.005
is_wf_2015_2019,2017,internal_binary_vol63_above_is_q90,internal_vol,1.0018784911481033,0.002040595158224079,0.07228703564302819,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0.0,0,0.0
is_wf_2015_2019,2018,internal_binary_vol63_above_is_q90,internal_vol,1.0790068135419166,0.08649163234252844,0.07314297600929696,1.1707564803218662,0.8262257902280293,-0.03658260136398983,1.0,0.0,0,0.0
is_wf_2015_2019,2019,internal_binary_vol63_above_is_q90,internal_vol,1.0215518124878968,0.023431332692930518,0.10941844082350928,0.26641357135937144,0.08079049679085988,-0.14511714533996156,0.8060344827586207,0.1939655172413793,12,0.03
is_wf_2015_2019,2015,external_binary_market_vol63_above_is_q90,external_market_vol,1.1017020105792565,0.11093937862406422,0.09982469128154592,1.1038636100486694,1.1038636100486694,-0.07293403387414588,0.771551724137931,0.22844827586206898,2,0.005
is_wf_2015_2019,2016,external_binary_market_vol63_above_is_q90,external_market_vol,0.9025205001010079,-0.10499632267026904,0.14557636509375582,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0.0,0,0.0
is_wf_2015_2019,2017,external_binary_market_vol63_above_is_q90,external_market_vol,1.0018784911481033,0.002040595158224079,0.07228703564302819,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0.0,0,0.0
