date,strategy_total_r,strategy_excess_r,market_total_r,momentum_factor_r
2015-02-28,-0.006557610472981423,-0.006557610472981423,0.057473716454975676,-0.02768917389154424
2015-03-31,0.023414413388517907,0.023414413388517907,-0.015815664102709515,0.02495786243452125
2015-04-30,-0.05921783859410101,-0.05921783859410101,0.009594588557447992,-0.058097516381117154
2015-05-31,0.049977460466314794,0.049977460466314794,0.012858622825877353,0.04514752619236839
2015-06-30,0.015068725887536605,0.015068725887536605,-0.01935916611413535,0.02059415786251062
2015-07-31,0.09120554333900532,0.09120554333900532,0.02095208144974281,0.03806299452710893
2015-08-31,-0.026787951352564177,-0.026787951352564177,-0.06033420606807316,-0.010807188761497777
2015-09-30,0.02686669291356858,0.02686669291356858,-0.02474356347742912,0.04058335304871541
2015-10-31,-0.014808938719483078,-0.014808938719483078,0.08435452653515108,-0.03396311332635826
2015-11-30,0.01689275087500408,0.01689275087500408,0.0029731384304616526,0.010316433455976437
2015-12-31,0.005553378532828113,0.005553378532828113,-0.01577196072977538,0.022437424864038658
2016-01-31,0.0,0.0,0.0,0.0
2016-02-29,-0.04094000032268219,-0.04094000032268219,-0.0013491338010327425,-0.026766106485789365
2016-03-31,-0.04876769068776532,-0.04876769068776532,0.0678373117621438,-0.03209894370233435
2016-04-30,-0.04590081930190415,-0.04590081930190415,0.0038780205054851358,-0.04032589323004143
2016-05-31,0.04563171367998664,0.04563171367998664,0.017957218508640294,0.004105591948053933
2016-06-30,0.04102670042712586,0.04102670042712586,0.0025922510390476994,0.04803427795001691
2016-07-31,-0.01722519739447914,-0.01722519739447914,0.036868008497534355,-0.02549561180633042
2016-08-31,-0.03634027149444752,-0.03634027149444752,0.0014047845308433615,-0.02923219000330035
2016-09-30,-0.025522451162550253,-0.025522451162550253,0.00018688004970557337,0.005316650127683786
2016-10-31,0.03527390896617977,0.03527390896617977,-0.018240452699062826,-0.01146420592460684
2016-11-30,0.012129341316333031,0.012129341316333031,0.037035114647209655,-0.002122826898677488
2016-12-31,-0.014969402034021084,-0.014969402034021084,0.019765332850302464,-0.006676173702583554
2017-01-31,0.0,0.0,-0.0008845765147226237,-0.0046367809748496525
2017-02-28,0.0005871765375526916,0.0005871765375526916,0.03970815241948622,-0.008317422488381632
2017-03-31,0.001079733426279983,0.001079733426279983,0.001164809516140286,-0.0014164388837865083
2017-04-30,0.004640900728980046,0.004640900728980046,0.010270569233243876,0.004845465268634941
2017-05-31,-0.01198447728118468,-0.01198447728118468,0.014072526293289256,0.017919991135431745
2017-06-30,-0.008676182096359675,-0.008676182096359675,0.006241746140312587,-0.008880084156647206
2017-07-31,0.008888426878521427,0.008888426878521427,0.02056276130951873,0.010261948228645679
2017-08-31,0.03168608190126876,0.03168608190126876,0.003062062263328613,0.028333358413389798
2017-09-30,-0.01828646983039517,-0.01828646983039517,0.020627748382813227,-0.012390563816519151
2017-10-31,0.028671470946111777,0.028671470946111777,0.02333484043478129,0.035892660702836254
2017-11-30,-0.02137627062879488,-0.02137627062879488,0.030669548163445137,-0.006060161722365787
2017-12-31,-0.01182614010545302,-0.01182614010545302,0.011118352652731867,-0.016351957311392606
2018-01-31,0.0,-9.999999999998899e-05,0.0005173953772086293,0.0013192286293424171
2018-02-28,0.021151711179271837,0.019215392570951284,-0.03685579028924635,0.010656714594067918
2018-03-31,0.008115333246072165,0.006001192059752025,-0.025414037817746427,-0.00526682983753457
2018-04-30,0.0036166092339979805,0.0015114736065493517,0.003837090847233382,-0.005200876062439241
2018-05-31,0.005227147238661578,0.003018477224836502,0.024082233142821874,0.026074967333915122
2018-06-30,-0.014082329141424044,-0.01615209379945437,0.006154453658261172,-0.010974322245000834
2018-07-31,-0.0037652613231701215,-0.005855652835591751,0.03721478723861549,-0.014219873175383091
2018-08-31,0.04112495535767002,0.038737164828999804,0.0325840186235582,0.03999677524900758
2018-09-30,3.6692841093310946e-05,-0.001861704779961948,0.005692049975570379,0.010680523260716335
2018-10-31,-0.002751321276607599,-0.005042788218340477,-0.06835004216246632,-0.01091061597894094
2018-11-30,-0.009211628465476851,-0.01129115868910413,0.020378099223575585,-0.009741816817810833
2018-12-31,0.028220254091030128,0.02627123136348919,-0.09028985692409619,0.01864182036169537
2019-01-31,0.0,-9.999999999998899e-05,0.008812727204587034,0.00443252390189075
2019-02-28,-0.006044893688497588,-0.007932319842426039,0.032108447274422414,-0.0009317208181005565
2019-03-31,0.02180131029922272,0.01965985151605132,0.019431331650017203,0.019974283379367908
2019-04-30,0.0003268208589755073,-0.001771772187110443,0.04048929642013577,-0.013144925371842864
2019-05-31,0.07376966966878085,0.07141744064749611,-0.0635480275068252,0.07309082964627
2019-06-30,-0.0009670129053293008,-0.002963351092004518,0.07047671159410562,-0.019682084717582482
2019-07-31,0.04051144487503233,0.03822880012523222,0.014373122328946497,0.013816754662982822
2019-08-31,0.04786342441578295,0.045565399841244414,-0.015841366088396813,0.07584481364189877
2019-09-30,-0.06633939254804178,-0.06821156046334842,0.018710697955149458,-0.04716403450000972
2019-10-31,0.02975020337300749,0.02738735079799337,0.021658991543773265,-0.008800023066123819
2019-11-30,0.009843002961075209,0.00782614001638171,0.036299039052051896,-0.024579053106179027
2019-12-31,-0.04248600679933012,-0.04449898685733833,0.030182848232194415,-0.013698141751924964
