run_id,config_name,config_type,eval_window,test_start,test_end,quantile,exclude_last_days,window_days,as_zscore,return_type,volatility_scaling,vol_window_days,rebal_freq,hedge_freq,final_nav,sharpe,ir_benchmark,alpha_benchmark,alpha_benchmark_pvalue,geom_avg_xs_r,max_dd,factor_loadings_low_risk,factor_loadings_momentum,factor_loadings_size,factor_loadings_quality,factor_loadings_value,strategy,experiment_group,fold,train_start,train_end,mode,weighting_scheme,arithm_avg_total_r,arithm_avg_xs_r,geom_avg_total_r,std_xs_r,min_xs_r,max_xs_r,skew,kurtosis,alpha_buy_hold,tracking_error_buy_hold,ir_buy_hold,factor_loadings_spx-rf,tracking_error_benchmark,ttest_pval,levene_pval,timing_ability_coef,timing_ability_pval
034a63ff82cc,finalist_3_q030_ex63_win126,finalist,wf_2015,2015-01-01,2015-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.1052461329489323,1.050807516748065,0.45387850691745346,0.02124683817014761,0.6915925045000297,0.11629434417790763,-0.07422835559122183,0.1414600436343632,0.7710885008798818,-0.18118313506389638,-0.17020609113158966,-0.5926732262722388,SystematicMomentum,is_wf_ens3_returns,1,2010-01-01,2014-12-31,long_short,equally_weighted,0.1148220115711433,0.1148220115711433,0.11629434417790763,0.11067140491895588,-0.018919756240892593,0.01620604180190921,-0.31007157786007117,-0.1449664754037432,0.06647447081791391,0.17717135371164364,0.3751987520855367,0.13939200390156886,0.046811730113520786,0.3903496503981645,0.005302284105538975,-0.17633464106524296,0.19796057980418336
2075ca67f06a,finalist_3_q030_ex63_win126,finalist,wf_2017,2017-01-01,2017-12-31,0.3,63,126,False,simple,True,21,ME,ME,0.9742018776512453,-0.39631763419420407,-1.0032057729542068,-0.047162295679606836,0.37683381217029616,-0.028325743978273255,-0.0738443306267711,0.20280754481566415,0.832251171663364,-0.09339387190390197,-0.26004464682040723,-0.19180598459823534,SystematicMomentum,is_wf_ens3_returns,3,2010-01-01,2016-12-31,long_short,equally_weighted,-0.025837585297814315,-0.025837585297814315,-0.028325743978273255,0.07147232808821481,-0.020913648339224933,0.009265204818825978,-0.9501716101610177,2.270737530781559,-0.2442062558886372,0.08870858207981461,-2.7529045123155638,-0.020285325939523077,0.047011587204811314,0.9846822831317177,0.11481819738471338,-0.022411630508396327,0.9071042399221712
2291776c5863,finalist_2_q030_ex84_win126,finalist,wf_2017,2017-01-01,2017-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.0136406718387763,0.21961427297439276,0.31601405738255295,0.016259031413738856,0.7599892415114015,0.01500664690323772,-0.0448182539077007,0.17079488976906193,0.7322220947589115,0.007349734379039667,-0.33785474926735604,-0.12677112536851115,SystematicMomentum,is_wf_ens3_returns,3,2010-01-01,2016-12-31,long_short,equally_weighted,0.017046335857907102,0.017046335857907102,0.01500664690323772,0.06833183790831077,-0.021468477689405074,0.010116592266042668,-0.7486736183265098,2.587921602245085,-0.20087386500712623,0.0880201520440574,-2.282134946853776,-0.05531647582002798,0.051450342267706076,0.9629158225279727,0.2884027438052911,-0.06320768975167884,0.7317887217360307
2f9760741f21,finalist_1_q020_ex84_win126,finalist,wf_2015,2015-01-01,2015-12-31,0.2,84,126,False,simple,True,21,ME,ME,1.1367212228063606,1.0945089679533895,0.15176615889429074,0.010591189324066885,0.8780572464461014,0.15129293288246215,-0.09609344012480235,0.4599784460993258,0.5555592047126389,-0.3256618013747841,-0.1631876060295152,-1.1430941356536204,SystematicMomentum,is_wf_ens3_returns,1,2010-01-01,2014-12-31,long_short,equally_weighted,0.14876866249777518,0.14876866249777518,0.15129293288246215,0.13822904819625478,-0.02808837931350694,0.02037554692390886,-0.4929883416089979,0.7804065408253034,0.10147305952246843,0.1952840094033718,0.5196178623763774,0.16788354467514482,0.06978623825779195,0.33997726476001106,0.49890375025264017,-0.17368994582880976,0.31165788295391134
3cff2e063963,finalist_2_q030_ex84_win126,finalist,wf_2019,2019-01-01,2019-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.1201903721443311,0.9601487875070102,-0.3270743560590635,-0.01441337846566526,0.8069567754490471,0.10637705171629452,-0.1022029659002028,0.5161154329896315,0.19770267633485528,-0.4472938004052134,0.3338631467955076,-0.5438964280188229,SystematicMomentum,is_wf_ens3_returns,5,2010-01-01,2018-12-31,long_short,equally_weighted,0.1294439981684085,0.10424399816840847,0.132053173187219,0.1107922575130241,-0.032211202827197596,0.024515128566485068,-0.7830131043741881,3.6293870072419527,-0.11962755680142978,0.16828926243021508,-0.7108448576808994,0.21201389240542853,0.04406758952102768,0.7249656177760453,0.7826301069104652,-0.06576860991584398,0.7173730317931972
465846040965,finalist_3_q030_ex63_win126,finalist,wf_2018,2018-01-01,2018-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.096448375590082,1.142111747583094,0.32161215456079256,0.012102524629999278,0.7729930378017483,0.08029472566697216,-0.039287505626985776,-0.0160173567221968,0.6115076239003864,-0.1983191914546575,0.034889158762531666,-0.276278324922551,SystematicMomentum,is_wf_ens3_returns,4,2010-01-01,2017-12-31,long_short,equally_weighted,0.10292892051703453,0.07772892051703455,0.10585877150500966,0.07030373852373875,-0.01500307901736898,0.013058978223624219,-0.33921704196764063,0.9539236793520933,0.2093709109437769,0.17480153365635315,1.1977635811558986,-0.05671583981878382,0.03763080610721012,0.1598359764661953,8.079845046478508e-14,0.03704247516629566,0.6158814803633884
4a48ba689792,finalist_2_q030_ex84_win126,finalist,wf_2018,2018-01-01,2018-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.0610439744250317,0.5994986841033113,-0.4301717699251615,-0.017080361789000964,0.7247121891972096,0.041331276894061464,-0.03946380093383871,-0.08012679958293865,0.5714897737896012,-0.21731526988488856,0.03201409222981211,-0.2407915444457748,SystematicMomentum,is_wf_ens3_returns,4,2010-01-01,2017-12-31,long_short,equally_weighted,0.06701575773268727,0.04181575773268728,0.06689532273209897,0.06894306524772766,-0.015431465949933398,0.013749247825999612,-0.26024719808575403,0.9223121679697299,0.17040746217086622,0.1735461788253071,0.981914227811375,-0.060093386328842056,0.039705910483090266,0.20734246612989374,4.149115837720835e-14,0.05763893621448776,0.42433822364858037
85123c072685,finalist_1_q020_ex84_win126,finalist,wf_2016,2016-01-01,2016-12-31,0.2,84,126,False,simple,True,21,ME,ME,0.9070393730338906,-0.5916062117151342,0.9965290629183562,0.08383762426794872,0.27252274685842137,-0.10142532004099403,-0.1645474657156932,0.37223996864771447,0.9598252222383723,-0.644117489789831,0.1816220742926228,-0.03390835769640069,SystematicMomentum,is_wf_ens3_returns,2,2010-01-01,2015-12-31,long_short,equally_weighted,-0.09087814207835607,-0.09087814207835607,-0.10142532004099403,0.17144059347678314,-0.04886677930426708,0.05308047908891589,0.1760010526026208,4.4154053348212745,-0.2981811840244224,0.225133646542845,-1.324462996106074,0.43683013866349196,0.08412963293055245,0.8980049381017764,8.197532723044931e-05,0.14719677554883367,0.5753040335386926
92b3cb5b00a6,finalist_2_q030_ex84_win126,finalist,wf_2015,2015-01-01,2015-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.1172475977825431,1.2129798585990916,0.4066165260947236,0.021194354613783162,0.7217254534373186,0.12962778712344258,-0.07254794935300525,0.3522495018262198,0.45195325021181343,-0.2594975716517889,-0.1409724380788035,-0.8726083927220384,SystematicMomentum,is_wf_ens3_returns,1,2010-01-01,2014-12-31,long_short,equally_weighted,0.1261490061397877,0.1261490061397877,0.12962778712344258,0.10686722141714189,-0.021036796178078077,0.015962419083771606,-0.44413786624592466,0.6449040925086256,0.07980791376344887,0.17810706065778661,0.44808955618436214,0.12514187213812056,0.052123692111928126,0.367049077014503,0.0004069193517619384,-0.12903963727303147,0.3313261240608071
b40cb1987b70,finalist_3_q030_ex63_win126,finalist,wf_2019,2019-01-01,2019-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.082565584567048,0.5358659653873443,-0.9340723380299326,-0.048335058613313775,0.454198701677834,0.06489015256951247,-0.12761665932969712,0.4845381006305952,0.17532130112674058,-0.6461390282150093,0.1902805809632665,-0.5814420912012834,SystematicMomentum,is_wf_ens3_returns,5,2010-01-01,2018-12-31,long_short,equally_weighted,0.09352623364230181,0.06832623364230177,0.09056627404043693,0.1210939987998816,-0.03880968792737195,0.027242857830753076,-1.070967514258881,5.337777350155887,-0.16111445594821183,0.17929747967330734,-0.8985873992304506,0.1706563951340691,0.05174659032860136,0.781125655144435,0.782064634372379,-0.08534825908915808,0.6658002270458547
