date,ens3_total_r,ens3_excess_r,market_total_r
2015-02-28,-0.006557610472981423,-0.006557610472981423,0.057473716454975676
2015-03-31,0.023414413388517907,0.023414413388517907,-0.015815664102709515
2015-04-30,-0.05921783859410101,-0.05921783859410101,0.009594588557447992
2015-05-31,0.049977460466314794,0.049977460466314794,0.012858622825877353
2015-06-30,0.015068725887536605,0.015068725887536605,-0.01935916611413535
2015-07-31,0.09120554333900532,0.09120554333900532,0.02095208144974281
2015-08-31,-0.026787951352564177,-0.026787951352564177,-0.06033420606807316
2015-09-30,0.02686669291356858,0.02686669291356858,-0.02474356347742912
2015-10-31,-0.014808938719483078,-0.014808938719483078,0.08435452653515108
2015-11-30,0.01689275087500408,0.01689275087500408,0.0029731384304616526
2015-12-31,0.005553378532828113,0.005553378532828113,-0.01577196072977538
2016-01-31,0.0,0.0,0.0
2016-02-29,-0.04094000032268219,-0.04094000032268219,-0.0013491338010327425
2016-03-31,-0.04876769068776532,-0.04876769068776532,0.0678373117621438
2016-04-30,-0.04590081930190415,-0.04590081930190415,0.0038780205054851358
2016-05-31,0.04563171367998664,0.04563171367998664,0.017957218508640294
2016-06-30,0.04102670042712586,0.04102670042712586,0.0025922510390476994
2016-07-31,-0.01722519739447914,-0.01722519739447914,0.036868008497534355
2016-08-31,-0.03634027149444752,-0.03634027149444752,0.0014047845308433615
2016-09-30,-0.025522451162550253,-0.025522451162550253,0.00018688004970557337
2016-10-31,0.03527390896617977,0.03527390896617977,-0.018240452699062826
2016-11-30,0.012129341316333031,0.012129341316333031,0.037035114647209655
2016-12-31,-0.014969402034021084,-0.014969402034021084,0.019765332850302464
2017-01-31,0.0,0.0,-0.0008845765147226237
2017-02-28,0.0005871765375526916,0.0005871765375526916,0.03970815241948622
2017-03-31,0.001079733426279983,0.001079733426279983,0.001164809516140286
2017-04-30,0.004640900728980046,0.004640900728980046,0.010270569233243876
2017-05-31,-0.01198447728118468,-0.01198447728118468,0.014072526293289256
2017-06-30,-0.008676182096359675,-0.008676182096359675,0.006241746140312587
2017-07-31,0.008888426878521427,0.008888426878521427,0.02056276130951873
2017-08-31,0.03168608190126876,0.03168608190126876,0.003062062263328613
2017-09-30,-0.01828646983039517,-0.01828646983039517,0.020627748382813227
2017-10-31,0.028671470946111777,0.028671470946111777,0.02333484043478129
2017-11-30,-0.02137627062879488,-0.02137627062879488,0.030669548163445137
2017-12-31,-0.01182614010545302,-0.01182614010545302,0.011118352652731867
2018-01-31,0.0,-9.999999999998899e-05,0.0005173953772086293
2018-02-28,0.021151711179271837,0.019215392570951284,-0.03685579028924635
2018-03-31,0.008115333246072165,0.006001192059752025,-0.025414037817746427
2018-04-30,0.0036166092339979805,0.0015114736065493517,0.003837090847233382
2018-05-31,0.005227147238661578,0.003018477224836502,0.024082233142821874
2018-06-30,-0.014082329141424044,-0.01615209379945437,0.006154453658261172
2018-07-31,-0.0037652613231701215,-0.005855652835591751,0.03721478723861549
2018-08-31,0.04112495535767002,0.038737164828999804,0.0325840186235582
2018-09-30,3.6692841093310946e-05,-0.001861704779961948,0.005692049975570379
2018-10-31,-0.002751321276607599,-0.005042788218340477,-0.06835004216246632
2018-11-30,-0.009211628465476851,-0.01129115868910413,0.020378099223575585
2018-12-31,0.028220254091030128,0.02627123136348919,-0.09028985692409619
2019-01-31,0.0,-9.999999999998899e-05,0.008812727204587034
2019-02-28,-0.006044893688497588,-0.007932319842426039,0.032108447274422414
2019-03-31,0.02180131029922272,0.01965985151605132,0.019431331650017203
2019-04-30,0.0003268208589755073,-0.001771772187110443,0.04048929642013577
2019-05-31,0.07376966966878085,0.07141744064749611,-0.0635480275068252
2019-06-30,-0.0009670129053293008,-0.002963351092004518,0.07047671159410562
2019-07-31,0.04051144487503233,0.03822880012523222,0.014373122328946497
2019-08-31,0.04786342441578295,0.045565399841244414,-0.015841366088396813
2019-09-30,-0.06633939254804178,-0.06821156046334842,0.018710697955149458
2019-10-31,0.02975020337300749,0.02738735079799337,0.021658991543773265
2019-11-30,0.009843002961075209,0.00782614001638171,0.036299039052051896
2019-12-31,-0.04248600679933012,-0.04449898685733833,0.030182848232194415
