variant,signal_type,year,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,sharpe,ir,max_dd,mean_exposure,switches,tc_drag
baseline_no_protection,baseline,2020,233,0.822257143698174,-0.19076073108271252,-0.19442817710778482,-0.5838907447452729,-0.5996207690855874,-0.30122642940364097,1.0,0,0.0
baseline_no_protection,baseline,2021,252,1.187882324555366,0.18788232455536602,0.18788232455536602,1.2250228489105945,1.2250228489105945,-0.10892229189896863,1.0,0,0.0
baseline_no_protection,baseline,2022,251,1.2634453715507978,0.2646230001577774,0.24848360534621428,1.2035938730030131,1.1435002375971508,-0.14059822919571763,1.0,0,0.0
baseline_no_protection,baseline,2023,250,0.960363635149237,-0.039947036630037625,-0.08714781172632824,-0.30291770109976457,-0.7473888296749633,-0.10588104966437373,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2020,233,0.9145666178707081,-0.09206941079743058,-0.0961841226735195,-0.4659707742853404,-0.4920133822874521,-0.20335726313293512,0.592274678111588,8,0.02
combo_vol63_q90_both,combo_internal_external,2021,252,1.187882324555366,0.18788232455536602,0.18788232455536602,1.2250228489105945,1.2250228489105945,-0.10892229189896863,1.0,0,0.0
combo_vol63_q90_both,combo_internal_external,2022,251,1.1397717335556714,0.14036596835287884,0.14036596835287884,1.3916156409528044,1.3916156409528044,-0.05990049155272881,0.41832669322709165,1,0.0025
combo_vol63_q90_both,combo_internal_external,2023,250,1.0298080360912663,0.03005004809258871,-0.014834542639310389,0.35428676536727055,-0.10631725581424814,-0.07071901367480882,0.884,1,0.0025
combo_vol63_q90_either,combo_internal_external,2020,233,0.9322399733687635,-0.07307871059777193,-0.07727948770899751,-0.8324609116073305,-0.8851416174731221,-0.11129416799213143,0.2703862660944206,1,0.0025
combo_vol63_q90_either,combo_internal_external,2021,252,1.1435286877561959,0.14352868775619587,0.14352868775619587,1.271288785078166,1.271288785078166,-0.07385765841070147,0.6031746031746031,1,0.0025
combo_vol63_q90_either,combo_internal_external,2022,251,1.0220321326883972,0.02212087389955686,0.02212087389955686,0.412671246049955,0.412671246049955,-0.02047503954248664,0.1752988047808765,5,0.0125
combo_vol63_q90_either,combo_internal_external,2023,250,1.0355244857050028,0.03581371119457577,-0.0077211446696418,0.4234370027588713,-0.03653944089905624,-0.07071901367480948,0.852,3,0.0075
external_binary_market_drawdown_below_is_q10,external_market,2020,233,0.9003798931177487,-0.1072919811058406,-0.10902758357622755,-0.27408984188293606,-0.28120032744537893,-0.23561602090107236,0.6437768240343348,18,0.045
external_binary_market_drawdown_below_is_q10,external_market,2021,252,1.187882324555366,0.18788232455536602,0.18788232455536602,1.2250228489105945,1.2250228489105945,-0.10892229189896863,1.0,0,0.0
external_binary_market_drawdown_below_is_q10,external_market,2022,251,1.0075199017628842,0.007549974345607557,0.007549974345607557,0.16070928704466908,0.16070928704466908,-0.02642095903035957,0.17928286852589642,11,0.027500000000000004
external_binary_market_drawdown_below_is_q10,external_market,2023,250,0.956048647952779,-0.04429505842330228,-0.06733630570631566,-0.6376194762550076,-0.998033617811867,-0.06156405483958671,0.484,5,0.0125
external_binary_market_vol21_above_is_q90,external_market,2020,233,0.8972906661581839,-0.11060418651144677,-0.11262093133316808,-0.5335035015611971,-0.5456848775219301,-0.1708531872697494,0.4978540772532189,8,0.02
