month,ens3_total_r,ens3_excess_r,market_total_r
2019-09,-0.06633939254804178,-0.06821156046334842,0.018710697955149458
2015-04,-0.05921783859410101,-0.05921783859410101,0.009594588557447992
2016-03,-0.04876769068776532,-0.04876769068776532,0.0678373117621438
2016-04,-0.04590081930190415,-0.04590081930190415,0.0038780205054851358
2019-12,-0.04248600679933012,-0.04449898685733833,0.030182848232194415
2016-02,-0.04094000032268219,-0.04094000032268219,-0.0013491338010327425
2016-08,-0.03634027149444752,-0.03634027149444752,0.0014047845308433615
2015-08,-0.026787951352564177,-0.026787951352564177,-0.06033420606807316
2016-09,-0.025522451162550253,-0.025522451162550253,0.00018688004970557337
2017-11,-0.02137627062879488,-0.02137627062879488,0.030669548163445137
2017-09,-0.01828646983039517,-0.01828646983039517,0.020627748382813227
2016-07,-0.01722519739447914,-0.01722519739447914,0.036868008497534355
