date,ens3_total_r,ens3_excess_r,market_total_r
2020-01-31,0.0,-9.999999999998899e-05,-0.01762310077798379
2020-02-29,-0.016310710077883872,-0.018179712637218515,-0.08231872996489087
2020-03-31,0.023644003692385507,0.021396514989938664,-0.1235135310468033
2020-04-30,-0.07187188848846815,-0.07187188848846815,0.12819403324982948
2020-05-31,-0.00819457149759728,-0.00819457149759728,0.04762745850070971
2020-06-30,-0.01634527423716947,-0.01634527423716947,0.019888211104706288
2020-07-31,0.02889115347884008,0.02889115347884008,0.05638517114396646
2020-08-31,-0.03400800967918127,-0.03400800967918127,0.07187982968221163
2020-09-30,0.022933334792240467,0.022933334792240467,-0.03799719414747538
2020-10-31,-0.05900044211610045,-0.05900044211610045,-0.02659264644455761
2020-11-30,-0.05905718638805846,-0.05905718638805846,0.10946362497104656
2020-12-31,0.0017993274860492736,0.0017993274860492736,0.03844856706182753
2021-01-31,0.0813349777965342,0.0813349777965342,-0.010096206512143713
2021-02-28,-0.028480487513917074,-0.028480487513917074,0.02757449866619055
2021-03-31,-0.009531712687045446,-0.009531712687045446,0.04379555570196203
2021-04-30,0.005603133342387601,0.005603133342387601,0.05336906808051989
2021-05-31,-0.004849624384587359,-0.004849624384587359,0.006984199415544845
2021-06-30,0.030280424142390405,0.030280424142390405,0.02334539071288111
2021-07-31,-0.05576873661684778,-0.05576873661684778,0.023754358264431952
2021-08-31,0.001989996644016445,0.001989996644016445,0.030405637882691794
2021-09-30,0.04652352240832358,0.04652352240832358,-0.04650938456026288
2021-10-31,0.0009134229657392634,0.0009134229657392634,0.07006135746867947
2021-11-30,0.05842840050087306,0.05842840050087306,-0.00692881677128987
2021-12-31,0.05560523458110289,0.05560523458110289,0.04481640621322036
2022-01-31,-0.006579852984675227,-0.006579852984675227,-0.051746823274956055
2022-02-28,0.023460438213957158,0.023460438213957158,-0.02994217480189898
2022-03-31,0.03208048936571206,0.03208048936571206,0.037130008915381874
2022-04-30,0.027944090891102835,0.027944090891102835,-0.08720162561690115
2022-05-31,0.06329937589797052,0.06329937589797052,0.0018340395439624402
2022-06-30,-0.03591936679410446,-0.03591936679410446,-0.08254367238252636
2022-07-31,0.028889163652888072,0.028889163652888072,0.0922044729233884
2022-08-31,-0.023210952461985346,-0.02545779873428744,-0.040781356308831396
2022-09-30,-0.04477202411562886,-0.046780460206294894,-0.09209951256325788
2022-10-31,0.1403923325245009,0.13801458526154664,0.08096128704719385
2022-11-30,0.06381091509822379,0.061585474489648684,0.055884750629661806
2022-12-31,-0.018917956446754314,-0.023034127313848685,-0.05761465775524344
2023-01-31,-0.08283699208632311,-0.08651467344114605,0.06283428018028814
2023-02-28,0.01760229527639101,0.01374567557161499,-0.024399784626570775
2023-03-31,0.03529446821320814,0.03054962277300932,0.03671430929974728
2023-04-30,0.022501433704858576,0.01862739152702164,0.015608914894899684
2023-05-31,-0.03475805762366402,-0.039003143064635926,0.004346827801329001
2023-06-30,0.011331399343663007,0.007094510006973698,0.06607554677289129
2023-07-31,-0.0319069244880511,-0.03577831139872256,0.032124539863823465
2023-08-31,0.050868687415598135,0.04605563504378396,-0.015921117042355215
2023-09-30,-0.005577776683196922,-0.009549069467364224,-0.04767819330812173
2023-10-31,0.01233967189202545,0.007897098186704143,-0.02102687001040371
2023-11-30,0.021317496819676762,0.017040729574731017,0.09132586047097346
2023-12-31,-0.048014818113834346,-0.05182497038527423,0.04543061963636075
