date,ens3_total_r,ens3_excess_r,total_r__finalist_2_q030_ex84_win126__full_oos_2020_2023,total_r__finalist_3_q030_ex63_win126__full_oos_2020_2023,total_r__finalist_1_q020_ex84_win126__full_oos_2020_2023,excess_r__finalist_2_q030_ex84_win126__full_oos_2020_2023,excess_r__finalist_3_q030_ex63_win126__full_oos_2020_2023,excess_r__finalist_1_q020_ex84_win126__full_oos_2020_2023,year,month
2020-01-31,0.0,-9.999999999998899e-05,0.0,0.0,0.0,-9.999999999998899e-05,-9.999999999998899e-05,-9.999999999998899e-05,2020,1
2020-02-29,-0.016310710077883872,-0.018179712637218515,-0.02253559759448276,-0.011645970008749673,-0.014772877154336395,-0.024393390442121965,-0.013523357078364273,-0.016644667006716074,2020,2
2020-03-31,0.023644003692385507,0.021396514989938664,0.030881690264045192,0.01045486475636448,0.029342635326246258,0.028619011581444642,0.008235117235552591,0.02708309801598796,2020,3
2020-04-30,-0.07187188848846815,-0.07187188848846815,-0.07282330318077668,-0.061581706897941846,-0.08121461894077364,-0.07282330318077668,-0.061581706897941846,-0.08121461894077364,2020,4
2020-05-31,-0.00819457149759728,-0.00819457149759728,-0.020010349338063782,0.01754210365744502,-0.02190354613692247,-0.020010349338063782,0.01754210365744502,-0.02190354613692247,2020,5
2020-06-30,-0.01634527423716947,-0.01634527423716947,-0.023961845715973262,-0.005387330880193164,-0.019721216673691533,-0.023961845715973262,-0.005387330880193164,-0.019721216673691533,2020,6
2020-07-31,0.02889115347884008,0.02889115347884008,0.022407496854328635,0.03558270845247846,0.02767945259794735,0.022407496854328635,0.03558270845247846,0.02767945259794735,2020,7
2020-08-31,-0.0340079692846571,-0.0340079692846571,-0.03260600142635228,-0.024872547169046633,-0.04466591506162154,-0.03260600142635228,-0.024872547169046633,-0.04466591506162154,2020,8
2020-09-30,0.0223921181078921,0.0223921181078921,0.018829810153992543,0.025256597925459756,0.02301620500166135,0.018829810153992543,0.025256597925459756,0.02301620500166135,2020,9
2020-10-31,-0.059005582664549694,-0.059005582664549694,-0.059062195842159326,-0.05690320677642269,-0.06111859091397853,-0.059062195842159326,-0.05690320677642269,-0.06111859091397853,2020,10
