label,n_months,months,mean_total_r,mean_excess_r,min_total_r,min_excess_r
crash_month_total_lt_5pct,2,"2015-04, 2019-09",-0.0627786155710714,-0.06371469952872472,-0.06633939254804178,-0.06821156046334842
crash_month_excess_lt_5pct,2,"2015-04, 2019-09",-0.0627786155710714,-0.06371469952872472,-0.06633939254804178,-0.06821156046334842
