threshold_name,threshold_value
median_vol_21,0.08645832292024258
median_vol_63,0.09364915238158747
q01_daily_total_r,-0.01861675149588672
q05_daily_total_r,-0.011178105045906935
q25_trailing_total_r_21,-0.01198257950218351
q25_trailing_total_r_63,-0.011249707470123993
q75_vol_21,0.12119107830813461
q75_vol_63,0.12863478041243512
q90_vol_21,0.15389556233427223
q90_vol_63,0.15591853297219074
