date,ens3_total_r,ens3_excess_r,total_r__finalist_3_q030_ex63_win126__wf_2015,total_r__finalist_3_q030_ex63_win126__wf_2017,total_r__finalist_2_q030_ex84_win126__wf_2017,total_r__finalist_1_q020_ex84_win126__wf_2015,total_r__finalist_2_q030_ex84_win126__wf_2019,total_r__finalist_3_q030_ex63_win126__wf_2018,total_r__finalist_2_q030_ex84_win126__wf_2018,total_r__finalist_1_q020_ex84_win126__wf_2016,total_r__finalist_2_q030_ex84_win126__wf_2015,total_r__finalist_3_q030_ex63_win126__wf_2019,total_r__finalist_3_q030_ex63_win126__wf_2016,total_r__finalist_1_q020_ex84_win126__wf_2017,total_r__finalist_2_q030_ex84_win126__wf_2016,total_r__finalist_1_q020_ex84_win126__wf_2019,total_r__finalist_1_q020_ex84_win126__wf_2018,excess_r__finalist_3_q030_ex63_win126__wf_2015,excess_r__finalist_3_q030_ex63_win126__wf_2017,excess_r__finalist_2_q030_ex84_win126__wf_2017,excess_r__finalist_1_q020_ex84_win126__wf_2015,excess_r__finalist_2_q030_ex84_win126__wf_2019,excess_r__finalist_3_q030_ex63_win126__wf_2018,excess_r__finalist_2_q030_ex84_win126__wf_2018,excess_r__finalist_1_q020_ex84_win126__wf_2016,excess_r__finalist_2_q030_ex84_win126__wf_2015,excess_r__finalist_3_q030_ex63_win126__wf_2019,excess_r__finalist_3_q030_ex63_win126__wf_2016,excess_r__finalist_1_q020_ex84_win126__wf_2017,excess_r__finalist_2_q030_ex84_win126__wf_2016,excess_r__finalist_1_q020_ex84_win126__wf_2019,excess_r__finalist_1_q020_ex84_win126__wf_2018,year,month
2015-02-28,-0.006557610472981423,-0.006557610472981423,-0.014513725450485904,,,-0.003520886686327218,,,,,-0.0017021797365973645,,,,,,,-0.014513725450485904,,,-0.003520886686327218,,,,,-0.0017021797365973645,,,,,,,2015,2
2015-03-31,0.023414413388517907,0.023414413388517907,0.021659223639013625,,,0.02639946729311271,,,,,0.022151764077940506,,,,,,,0.021659223639013625,,,0.02639946729311271,,,,,0.022151764077940506,,,,,,,2015,3
2015-04-30,-0.05921783859410101,-0.05921783859410101,-0.05964029327670728,,,-0.06680716385391794,,,,,-0.051174960791330215,,,,,,,-0.05964029327670728,,,-0.06680716385391794,,,,,-0.051174960791330215,,,,,,,2015,4
2015-05-31,0.049977460466314794,0.049977460466314794,0.050345328549253,,,0.05776475630407596,,,,,0.0418511828141066,,,,,,,0.050345328549253,,,0.05776475630407596,,,,,0.0418511828141066,,,,,,,2015,5
2015-06-30,0.015068725887536605,0.015068725887536605,0.013554669038903233,,,0.01953129188766556,,,,,0.012106455291779561,,,,,,,0.013554669038903233,,,0.01953129188766556,,,,,0.012106455291779561,,,,,,,2015,6
2015-07-31,0.09120554333900532,0.09120554333900532,0.07728602740289259,,,0.10912024975976786,,,,,0.08740637474311375,,,,,,,0.07728602740289259,,,0.10912024975976786,,,,,0.08740637474311375,,,,,,,2015,7
2015-08-31,-0.026787951352564177,-0.026787951352564177,-0.022233678165137216,,,-0.03351396873174217,,,,,-0.024749306304712615,,,,,,,-0.022233678165137216,,,-0.03351396873174217,,,,,-0.024749306304712615,,,,,,,2015,8
2015-09-30,0.02686669291356858,0.02686669291356858,0.02467205318242449,,,0.031134717264204026,,,,,0.024775011083634224,,,,,,,0.02467205318242449,,,0.031134717264204026,,,,,0.024775011083634224,,,,,,,2015,9
2015-10-31,-0.014808938719483078,-0.014808938719483078,-0.020924969385551884,,,-0.011919998257928,,,,,-0.011668429855894336,,,,,,,-0.020924969385551884,,,-0.011919998257928,,,,,-0.011668429855894336,,,,,,,2015,10
2015-11-30,0.01689275087500408,0.01689275087500408,0.02344555179595842,,,0.012714991079968652,,,,,0.014511598192719743,,,,,,,0.02344555179595842,,,0.012714991079968652,,,,,0.014511598192719743,,,,,,,2015,11
2015-12-31,0.005553378532828113,0.005553378532828113,0.013905210021138537,,,-0.0015200969902711137,,,,,0.0042909505070518605,,,,,,,0.013905210021138537,,,-0.0015200969902711137,,,,,0.0042909505070518605,,,,,,,2015,12
2016-02-29,-0.04094000032268219,-0.04094000032268219,,,,,,,,-0.043674386024059375,,,-0.043134723575169454,,-0.03603587300491429,,,,,,,,,,-0.043674386024059375,,,-0.043134723575169454,,-0.03603587300491429,,,2016,2
