label,n_months,months,mean_total_r,mean_excess_r,min_total_r,min_excess_r
crash_month_total_lt_5pct,5,"2020-04, 2020-10, 2020-11, 2021-07, 2023-01",-0.06570763757470499,-0.06644317384566964,-0.08283699208632322,-0.0865146734411465
crash_month_excess_lt_5pct,6,"2020-04, 2020-10, 2020-11, 2021-07, 2023-01, 2023-12",-0.06275883433122648,-0.06400680660227036,-0.08283699208632322,-0.0865146734411465
